"No","TYPE MOBIL","JENIS","JAN","FEB","MAR","APR","MEI","JUN","JUL","AGU","SEP","OKT","NOV","DES","TOTAL","BAHAN BAKAR"
"1","VIOS 1.5 E","SEDAN","-","-","12","3","-","-","-","1","-","-","-","-","16","BENSIN"
"2","VIOS 1.5 G","SEDAN","4","-","1","10","-","1","-","-","-","-","-","-","16","BENSIN"
"3","VIOS 1.5 A/T FMC","SEDAN","-","-","-","-","-","-","-","-","-","-","25","72","97","BENSIN"
"4","VIOS G AT","SEDAN","35","13","10","1","10","21","18","13","-","-","-","-","121","BENSIN"
"5","All New Corolla Altis V AT","SEDAN","-","71","11","49","35","34","21","19","161","301","76","72","850","BENSIN"
"6","All New Corolla Altis 1.8 Hybrid AT","SEDAN","-","18","17","30","14","7","22","22","15","18","14","19","196","BENSIN"
"7","All New Camry 2.5 G","SEDAN","-","-","-","-","-","-","-","-","-","-","-","-","0","BENSIN"
"8","All New Camry 2.5 V","SEDAN","29","91","60","54","28","52","73","87","127","123","85","78","887","BENSIN"
"9","All New Camry 2.5 Hybrid","SEDAN","17","60","42","36","19","9","12","15","2","18","28","26","284","BENSIN"
"10","GR 86 A/T","SPORT","-","-","-","-","-","-","-","-","-","14","7","8","29","BENSIN"
"11","Supra 3.0 A/T","SPORT","-","2","-","-","-","-","-","-","-","-","-","5","7","BENSIN"
"12","86 MT","SPORT","-","-","-","-","-","-","-","-","-","-","-","-","0","BENSIN"
"13","Avanza 1.3 A/T Transmover","LMPV","-","198","100","201","26","97","779","1957","1344","1125","25","2","5854","BENSIN"
"14","All New Avanza 1.5 G BMC 2015","LMPV","-","-","1","-","-","-","1","-","-","-","-","-","2","BENSIN"
"15","New Avanza 1.3 E 2019","LMPV","-","-","-","-","-","-","1","-","1","-","-","-","2","BENSIN"
"16","New Avanza 1.3 E A/T 2019","LMPV","-","-","-","-","-","-","-","-","-","-","-","-","0","BENSIN"
"17","New Avanza 1.3 G 2019","LMPV","-","-","2","1","-","3","-","-","-","-","1","-","7","BENSIN"
"18","New Avanza 1.3 G A/T 2019","LMPV","-","-","1","-","-","-","1","-","-","-","-","-","2","BENSIN"
"19","New Avanza Veloz 1.3 2019","LMPV","-","-","1","-","-","-","-","-","-","-","-","-","1","BENSIN"
"20","New Avanza Veloz 1.5 2019","LMPV","-","-","-","-","-","-","1","-","-","-","-","-","1","BENSIN"
"21","New Avanza Veloz 1.5 A/T 2019","LMPV","-","-","-","-","-","-","1","-","-","-","-","-","1","BENSIN"
"22","All New Avanza 1.3 E 2021","LMPV","341","246","3106","439","1093","1737","1985","1885","1305","977","617","480","14211","BENSIN"
"23","All New Avanza 1.3 E Cvt 2021","LMPV","23","2","248","341","86","616","611","498","441","271","545","788","4470","BENSIN"
"24","All New Avanza 1.5 G 2021","LMPV","1290","1304","1734","2597","242","2528","2699","2221","2040","1477","745","1504","20381","BENSIN"
"25","All New Avanza 1.5 G CVT 2021","LMPV","1472","877","869","1440","338","1189","1087","461","1572","1108","1925","2264","14602","BENSIN"
"26","All New Avanza 1.5 G CVT TSS 2021","LMPV","62","434","21","20","7","2","376","8","152","-","1","5","1088","BENSIN"
"27","All New Avanza Veloz 1.5 G BMC 2015","LMPV","-","-","1","-","-","-","-","-","-","-","-","-","1","BENSIN"
"28","All New Avanza Veloz 1.5 G AT BMC 2015","LMPV","-","-","-","1","-","-","-","-","-","-","-","-","1","BENSIN"
"29","All New Veloz 1.5 2021","LMPV","1430","1165","492","463","213","391","108","825","391","647","460","54","6639","BENSIN"
"30","All New Veloz 1.5 CVT 2021","LMPV","-","-","-","2","-","-","421","278","102","181","10","-","994","BENSIN"
"31","All New Veloz 1.5 Q Cvt 2021","LMPV","1675","847","1293","2444","303","435","730","1277","2768","1566","2918","168","16424","BENSIN"
"32","All New Veloz 1.5 Q Cvt Tss 2021","LMPV","1672","851","1439","1950","422","344","128","51","150","290","329","334","7960","BENSIN"
"33","Sienta V 1.5 CVT","MPV","1","-","-","-","2","3","-","2","5","1","14","2","30","BENSIN"
"34","Sienta Q 1.5 CVT","MPV","4","-","4","1","-","5","-","14","4","2","7","-","41","BENSIN"
"35","Sienta V 1.5 CVT Welcab","MPV","3","5","-","4","-","3","9","-","2","-","2","-","28","BENSIN"
"36","Raize 1.0T G One Tone New 2021","SUV","86","36","62","82","33","117","60","62","66","186","5","39","834","BENSIN"
"37","Raize 1.0T G Two Tone New 2021","SUV","4","11","2","11","-","1","-","-","-","-","-","-","29","BENSIN"
"38","Raize 1.0T G CVT One Tone New 2021","SUV","52","110","329","72","55","114","444","539","83","181","470","97","2546","BENSIN"
"39","Raize 1.0T G CVT Two Tone New 2021","SUV","5","12","7","93","14","26","64","-","109","34","25","21","410","BENSIN"
"40","Raize 1.0T GR CVT One Tone New 2021","SUV","352","62","904","523","72","390","65","1157","78","689","725","73","5090","BENSIN"
"41","Raize 1.0T GR CVT Two Tone New 2021","SUV","452","448","788","592","117","509","134","825","769","1029","512","367","6542","BENSIN"
"42","Raize 1.0T GR TSS CVT One Tone New 2021","SUV","342","126","329","172","66","98","65","40","5","83","13","32","1371","BENSIN"
"43","Raize 1.0T GR TSS CVT Two Tone New 2021","SUV","272","391","359","156","105","289","55","357","528","173","177","138","3000","BENSIN"
"44","Raize 1.2T G New 2021","SUV","61","74","14","-","13","36","20","10","18","27","24","21","318","BENSIN"
"45","Raize 1.2T G CVT New 2021","SUV","54","161","113","150","142","432","546","594","317","430","579","434","3952","BENSIN"
"46","New Rush 1.5 S MT Mi TRD Sportivo","SUV","-1","-","1","1","-","1","1","-","-","-","-","1","4","BENSIN"
"47","New Rush 1.5 S MT Mi TRD Sportivo AT","SUV","-","-","1","-","-","-","1","-","-","-","-","-","2","BENSIN"
"48","New Rush 1.5 G","SUV","161","298","358","153","124","277","417","295","549","168","679","376","3855","BENSIN"
"49","New Rush 1.5 G A/T","SUV","143","218","213","121","123","248","294","253","379","356","481","183","3012","BENSIN"
"50","New Rush1.5 GR Sport 2021","SUV","1745","1941","2245","1647","623","2273","2040","1463","1825","2470","1743","1256","21271","BENSIN"
"51","New Rush 1.5 GR Sport A/T 2021","SUV","1703","1354","1773","1272","479","1910","1526","918","605","2013","1589","1705","16847","BENSIN"
"52","New Yaris 1.5 G CVT 3 Airbag","HATCHBACK","-","-","5","1","-","5","-","-","-","-","-","-","11","BENSIN"
"53","New Yaris 1.5 TRD CVT 3 Airbag","HATCHBACK","-","-","-","1","-","-","-","-","-","-","-","-","1","BENSIN"
"54","New Yaris 1.5 TRD CVT 7 Airbag","HATCHBACK","-","-","-","-","-","-","-","-","-","-","1","-","1","BENSIN"
"55","New Yaris 1.5 GR Sport 3 Airbag 2021","HATCHBACK","14","43","51","42","21","43","13","1","-","-","12","7","247","BENSIN"
"56","New Yaris 1.5 GR Sport CVT 3 Airbag 2021","HATCHBACK","264","427","398","290","149","345","69","19","416","417","170","59","3023","BENSIN"
"57","New Yaris 1.5 GR Sport CVT 7 Airbag 2021","HATCHBACK","-","13","91","80","33","67","28","-","64","73","32","17","498","BENSIN"
"58","GR YARIS 1.6","SPORT","16","2","5","14","1","-","-","-","-","-","-","-","38","BENSIN"
"59","C+POD EV","BEV","-","-","2","-","-","-","10","-","-","-","-","-","12","EV"
"60","BZ4X EV","BEV","-","-","-","-","-","-","-","-","-","-","-","1","1","EV"
"61","All New  Kijang Inova G 2015","MPV","-","-","-","-","-","-","-","-","-","-","-","-","0","BENSIN"
"62","All New  Kijang Inova G AT 2015","MPV","-","-","-","1","-","-","-","-","-","-","-","-","1","BENSIN"
